            tau                 V0                  y0
-0.00010710886216396201     4.9399593664593136  -0.018632583597294135
-0.0001163781033865631      4.944339647343753   -0.017533486120611112
-0.00012632624220639056     4.945727832323731   -0.017202489898314396
-0.00013531637670623605     4.948321380251385   -0.017201285769973648
-0.00014474086672322103     4.950641185960184   -0.017504108362129
-9.706654289263273e-07      2.3429230615269105  -0.01673661742169547
-9.91145418767679e-07       2.313070525343117   -0.016666894536933523
-1.0152241105899276e-06     2.2537944380802064  -0.007139225458072841
-1.0161985357823372e-06     2.184187963796117   -0.01551428100415913
-1.0693781856885608e-06    -2.1658619311863108   2.187642277808652
